,distancia,peso,cod_origem,cod_destino,peso(toneladas),distância(Km)
1594,1.877,25,PA,RN,25,1.877
1595,1.877,25,PA,RN,25,1.877
1596,1.877,25,PA,RN,25,1.877
1597,1.877,25,PA,RN,25,1.877
1598,1.877,25,PA,RN,25,1.877
1832,1.867,30,BA,PR,30,1.867
1833,1.818,30,BA,PR,30,1.818
1911,1.818,32,BA,SP,32,1.818
1286,1.801,20,BA,SP,20,1.801
1287,1.801,20,BA,SP,20,1.801
1834,1.797,30,BA,PR,30,1.797
1835,1.78,30,BA,PR,30,1.78
1836,1.769,30,BA,PR,30,1.769
1837,1.736,30,BA,PR,30,1.736
2103,1.727,50,PR,MT,50,1.727
2104,1.727,50,PR,MT,50,1.727
2105,1.727,50,PR,MT,50,1.727
2106,1.727,50,PR,MT,50,1.727
2107,1.727,50,PR,MT,50,1.727
2108,1.727,50,PR,MT,50,1.727
2109,1.711,50,PR,MT,50,1.711
2110,1.711,50,PR,MT,50,1.711
2111,1.711,50,PR,MT,50,1.711
2112,1.711,50,PR,MT,50,1.711
2113,1.711,50,PR,MT,50,1.711
2114,1.711,50,PR,MT,50,1.711
1838,1.71,30,BA,PR,30,1.71
1288,1.683,20,AC,MT,20,1.683
1839,1.653,30,BA,PR,30,1.653
1289,1.64,20,BA,MG,20,1.64
1840,1.64,30,BA,PR,30,1.64
1912,1.621,32,BA,SP,32,1.621
1841,1.61,30,BA,PR,30,1.61
1963,1.6,35,MT,SP,35,1.6
1842,1.595,30,MG,PR,30,1.595
1290,1.578,20,MT,SP,20,1.578
2195,1.541,100,MA,RN,100,1.541
1843,1.536,30,MG,MT,30,1.536
1291,1.524,20,MT,SP,20,1.524
1430,1.503,24,PA,CE,24,1.503
2115,1.481,50,PR,MT,50,1.481
2116,1.481,50,PR,MT,50,1.481
2117,1.481,50,PR,MT,50,1.481
2118,1.481,50,PR,MT,50,1.481
2119,1.481,50,PR,MT,50,1.481
2120,1.481,50,PR,MT,50,1.481
1844,1.429,30,ES,PR,30,1.429
1292,1.416,20,MT,SP,20,1.416
1293,1.401,20,BA,SP,20,1.401
1845,1.361,30,GO,PR,30,1.361
1846,1.359,30,GO,PR,30,1.359
1847,1.355,30,ES,PR,30,1.355
1848,1.33,30,DF,PR,30,1.33
1294,1.324,20,MT,SP,20,1.324
1599,1.304,25,MG,GO,25,1.304
1849,1.304,30,ES,PR,30,1.304
1295,1.29,20,GO,SC,20,1.29
1389,1.282,23,MS,RJ,23,1.282
1850,1.254,30,ES,PR,30,1.254
1390,1.251,23,BA,MG,23,1.251
1913,1.245,32,RS,SP,32,1.245
1677,1.239,29.9,GO,SP,29.9,1.239
1851,1.232,30,ES,PR,30,1.232
1926,1.222,33,MG,PR,33,1.222
1296,1.217,20,RJ,PR,20,1.217
1852,1.198,30,ES,SP,30,1.198
1853,1.198,30,ES,SP,30,1.198
1854,1.198,30,ES,SP,30,1.198
1353,1.173,22,SP,MG,22,1.173
1297,1.169,20,PI,PE,20,1.169
1298,1.168,20,RS,SP,20,1.168
1299,1.168,20,RS,SP,20,1.168
1300,1.168,20,RS,SP,20,1.168
1669,1.168,28,RS,SP,28,1.168
1932,1.165,33.5,RS,SP,33.5,1.165
1933,1.165,33.5,RS,SP,33.5,1.165
1934,1.165,33.5,RS,SP,33.5,1.165
1935,1.165,33.5,RS,SP,33.5,1.165
1301,1.141,20,MT,SP,20,1.141
1302,1.13,20,ES,BA,20,1.13
1303,1.117,20,RS,SP,20,1.117
1304,1.117,20,RS,SP,20,1.117
1855,1.104,30,MG,PR,30,1.104
1624,1.101,26,RS,SP,26,1.101
1625,1.101,26,RS,SP,26,1.101
1856,1.1,30,MG,PR,30,1.1
1914,1.098,32,RS,SP,32,1.098
1857,1.096,30,MG,PR,30,1.096
1858,1.095,30,MG,PR,30,1.095
1936,1.095,33.5,RS,SP,33.5,1.095
1937,1.095,33.5,RS,SP,33.5,1.095
1938,1.095,33.5,RS,SP,33.5,1.095
1939,1.095,33.5,RS,SP,33.5,1.095
1600,1.093,25,RS,SP,25,1.093
1601,1.093,25,RS,SP,25,1.093
1602,1.093,25,RJ,GO,25,1.093
1431,1.089,24,SC,MS,24,1.089
1603,1.072,25,DF,RJ,25,1.072
1927,1.069,33,RS,SP,33,1.069
2121,1.069,50,MG,MT,50,1.069
2122,1.069,50,MG,MT,50,1.069
2123,1.069,50,MG,MT,50,1.069
1859,1.068,30,RJ,PR,30,1.068
1316,1.065,21,GO,PR,21,1.065
1317,1.065,21,GO,PR,21,1.065
1318,1.065,21,GO,PR,21,1.065
1319,1.065,21,GO,PR,21,1.065
1320,1.065,21,GO,PR,21,1.065
1321,1.065,21,GO,PR,21,1.065
1322,1.065,21,GO,PR,21,1.065
1323,1.065,21,GO,PR,21,1.065
1928,1.062,33,ES,MG,33,1.062
1929,1.062,33,ES,MG,33,1.062
1930,1.062,33,ES,MG,33,1.062
1860,1.06,30,RJ,PR,30,1.06
1861,1.06,30,MG,PR,30,1.06
1862,1.059,30,RJ,PR,30,1.059
1604,1.043,25,MG,PR,25,1.043
1605,1.043,25,MG,PR,25,1.043
1863,1.037,30,RJ,PR,30,1.037
1864,1.034,30,MG,PR,30,1.034
1305,1.027,20,MG,SC,20,1.027
356,1.026,1.7,ES,MG,1.7,1.026
357,1.026,1.7,ES,MG,1.7,1.026
358,1.026,1.7,ES,MG,1.7,1.026
359,1.026,1.7,ES,MG,1.7,1.026
1865,1.012,30,RJ,PR,30,1.012
1306,1.011,20,MS,SP,20,1.011
1307,1.002,20,ES,SP,20,1.002
1432,1.002,24,MS,SC,24,1.002
